Latitude,Longitude
39.798363,-89.654961
36.16581,-86.784241
32.377716,-86.300568
38.186722,-84.875374
33.749027,-84.388229
30.438118,-84.281296
34.000343,-81.033211
35.78043,-78.639099
40.264378,-76.883598
42.652843,-73.757874
44.262436,-72.580536
43.206898,-71.537994
44.307167,-69.781693
42.358162,-71.063698
41.830914,-71.414963
41.764046,-72.682198
40.220596,-74.769913
39.157307,-75.519722
38.978764,-76.490936
37.538857,-77.43364
38.336246,-81.612328
39.961346,-82.999069
42.733635,-84.555328
39.768623,-86.162643
43.074684,-89.384445
30.457069,-91.187393
34.746613,-92.288986
35.492207,-97.503342
30.27467,-97.740349
35.68224,-105.939728
33.448143,-112.096962
39.163914,-119.766121
38.576668,-121.493629
44.938461,-123.030403
47.035805,-122.905014
43.617775,-116.199722
46.585709,-112.018417
40.777477,-111.888237
39.739227,-104.984856
41.140259,-104.820236
46.82085,-100.783318
44.367031,-100.346405
40.808075,-96.699654
39.048191,-95.677956
41.591087,-93.603729
44.955097,-93.102211
38.579201,-92.172935
32.303848,-90.182106
39.798363,-89.654961
